full_nm	brand_nm	keyword	store_nm	addr	poiid	lon_x	lat_y	tel_no	fax_no	is_dining	is_parking	is_lavatory	is_atm	is_7wifi	is_ice	is_hot_dog	is_health_stations	is_ice_cream	is_open_store	is_fruit	is_city_cafe	is_union_pay	is_organic	is_corn	is_makeup	is_muji	is_mister_donuts	is_star_bucks	is_ibon	is_tea	is_sweet_potato	special_store_kind	store_url	data_time
統一超商P1廠	統一超商	7-11	P1廠	台南市善化區南科北路1之1號1樓	167020              	120.27512399999999	23.111607	(06)5057528         	                    	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商P7廠	統一超商	7-11	P7廠	台南市善化區南關里三抱竹路1號	153755              	120.267164	23.107446	(06)5057202         	                    	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商一心	統一超商	7-11	一心	台南市東區中華東路一段24號	854557              	120.234382	22.99699	(06)2084962         	(06)2095693         	Y	N	Y	Y	Y	N	Y	N	Y	N	N	N	N	N	N	N	Y	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商一江橋	統一超商	7-11	一江橋	台中市太平區東平路1號	126306              	120.73561799999999	24.133257	(04)22770154        	(04)22774013        	Y	N	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	Y	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商一級棒	統一超商	7-11	一級棒	新北市新莊區新北大道七段482號	174257              	121.41313	25.030158	(02)29018947        	(02)29018968        	Y	N	N	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商一勝	統一超商	7-11	一勝	台中市大肚區福山村沙田路一段432-1號	110035              	120.565249	24.123258	(04)26930674        	(04)26937065        	Y	Y	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商一揚	統一超商	7-11	一揚	高雄市路竹區國昌路1號	114118              	120.26095199999999	22.854014	(07)6977478         	(07)6960156         	Y	N	Y	Y	Y	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商一新	統一超商	7-11	一新	新北市中和區福祥里27鄰永和路56號58號1樓	173793              	121.49912099999999	25.004277	(02)22468497        	(02)22468503        	N	N	N	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商一路發	統一超商	7-11	一路發	台中市清水區鰲峰路580號之15	138631              	120.548293	24.264359	(04)26577023        	(04)26580723        	Y	N	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商一德	統一超商	7-11	一德	台北市北投區中央北路4段513號	851721              	121.46845599999999	25.128149999999998	(02)28984000        	(02)28960904        	N	N	N	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商丁台	統一超商	7-11	丁台	台中市霧峰區四德路392號	138907              	120.678399	24.064776	(04)23398562        	(04)23398742        	Y	Y	Y	Y	Y	Y	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商七甲	統一超商	7-11	七甲	台南市六甲區六甲里中正路321之1號	132482              	120.35112199999999	23.226323999999998	(06)6981130         	(06)6982251         	Y	N	N	Y	Y	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商七老爺	統一超商	7-11	七老爺	高雄市鳳山區正義里鳳甲路491號493號	126362              	120.345957	22.59731	(07)7929712         	(07)7929751         	Y	N	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
