分行代碼,名稱,地址,電話,保管箱業務,location,lat,lng
1,營業部(總行),台北市中山區中山北路二段44號,(02)2568-3988,有,"{'lat': 25.0551548, 'lng': 121.5224843}",25.0551548,121.52248429999999
2,敦南分行,台北市大安區仁愛路4段118號,(02)2326-8899,有,"{'lat': 25.0373766, 'lng': 121.5497874}",25.0373766,121.54978740000001
4,新生分行,台北市中正區新生南路一段62號,(02)2395-2888,-,"{'lat': 25.0405318, 'lng': 121.5324868}",25.0405318,121.5324868
5,新莊分行,新北市新莊區中華路二段75號,(02)2998-0888,有,"{'lat': 25.0477935, 'lng': 121.4527232}",25.0477935,121.45272320000001
6,桃園分行,桃園市桃園區復興路205號,(03)339-6000,有,"{'lat': 24.9887216, 'lng': 121.3087216}",24.9887216,121.3087216
7,台中分行,台中市西區台灣大道2段416號,(04)2328-5577,有,"{'lat': 24.1552132, 'lng': 120.6636561}",24.1552132,120.6636561
8,板橋分行,新北市板橋區中正路176號,(02)2965-8888,有,"{'lat': 25.0174823, 'lng': 121.456414}",25.0174823,121.456414
9,高雄分行,高雄市鼓山區明誠四路10號,(07)553-6653,-,"{'lat': 22.661396, 'lng': 120.291815}",22.661396,120.29181499999999
10,台南分行,台南市中西區西門路二段389號,(06)223-3383,有,"{'lat': 22.9986263, 'lng': 120.200476}",22.9986263,120.200476
11,南京東路分行,台北市松山區南京東路三段289號,(02)2546-1068,有,"{'lat': 25.052091, 'lng': 121.546323}",25.052091,121.546323
12,中壢分行,桃園市中壢區延平路366號,(03)427-2345,有,"{'lat': 24.9597263, 'lng': 121.2248418}",24.9597263,121.22484180000001
13,信託部,台北市大安區仁愛路4段118號,(02)2326-8899,-,"{'lat': 25.0373766, 'lng': 121.5497874}",25.0373766,121.54978740000001
14,國外部,台北市中山區建國北路二段17號2樓、6樓,(02)2505-6966,-,"{'lat': 25.0541283, 'lng': 121.5374521}",25.0541283,121.5374521
15,苓雅分行,高雄市前鎮區中山二路260號,(07)537-5537,有,"{'lat': 22.6133062, 'lng': 120.3051101}",22.6133062,120.30511010000001
16,蘆洲分行,新北市蘆洲區長榮路197號,(02)2848-5858,有,"{'lat': 25.0847324, 'lng': 121.4610179}",25.0847324,121.4610179
17,天母分行,台北市士林區中山北路六段88號,(02)2836-3988,-,"{'lat': 25.1049165, 'lng': 121.525007}",25.1049165,121.525007
18,大里分行,台中市大里區中興路二段127號,(04)2483-4088,有,"{'lat': 24.104334, 'lng': 120.6887377}",24.104333999999998,120.6887377
19,國際金融業務分行,台北市中山區建國北路二段17號2樓、6樓,(02)2505-6966,-,"{'lat': 25.0541283, 'lng': 121.5374521}",25.0541283,121.5374521
20,中和分行,新北市永和區中和路341號,(02)2232-7788,-,"{'lat': 24.9998309, 'lng': 121.5076689}",24.9998309,121.5076689
21,嘉義分行,嘉義市西區垂楊路620號,(05)222-2818,-,"{'lat': 23.4735193, 'lng': 120.4439323}",23.4735193,120.44393229999999
22,豐原分行,台中市豐原區圓環東路368號,(04)2525-7999,有,"{'lat': 24.2447493, 'lng': 120.7239688}",24.244749300000002,120.72396880000001
23,花蓮分行,花蓮縣花蓮市中山路408-9號,(03)834-5930,-,"{'lat': 23.9850677, 'lng': 121.6032384}",23.9850677,121.60323840000001
24,新竹分行,新竹市北區東大路二段83號,(03)535-1546,-,"{'lat': 24.813363, 'lng': 120.96736}",24.813363,120.96736000000001
25,七賢分行,高雄市新興區七賢一路386號,(07)238-8545,-,"{'lat': 22.6343741, 'lng': 120.3074649}",22.634374100000002,120.3074649
26,信義分行,台北市信義區松高路1號,(02)2723-0088,有,"{'lat': 25.039625, 'lng': 121.5643078}",25.039625,121.5643078
27,北台中分行,台中市北屯區崇德路二段55號,(04)2232-6886,有,"{'lat': 24.170231, 'lng': 120.685062}",24.170231,120.68506200000002
28,三重分行,新北市三重區正義北路116號,(02)2983-6100,-,"{'lat': 25.0653805, 'lng': 121.49674}",25.0653805,121.49673999999999
29,永福分行,台南市中西區永福路二段150號,(06)220-4622,有,"{'lat': 22.9944241, 'lng': 120.201679}",22.9944241,120.201679
30,屏東分行,屏東縣屏東市廣東路103號,(08)721-7777,有,"{'lat': 22.6728185, 'lng': 120.4993692}",22.672818499999998,120.4993692
31,大安分行,台北市大安區信義路三段118號,(02)2700-9388,-,"{'lat': 25.0332424, 'lng': 121.5388014}",25.0332424,121.5388014
32,龍潭分行,桃園市龍潭區中正路176號,(03)499-3800,有,"{'lat': 24.8656062, 'lng': 121.2168219}",24.865606200000002,121.2168219
33,崇德分行,台南市東區崇德路260號,(06)290-6901,-,"{'lat': 22.9777292, 'lng': 120.2219734}",22.9777292,120.22197340000001
34,金華分行,台南市南區金華路二段195號,(06)263-9121,-,"{'lat': 22.9821398, 'lng': 120.191343}",22.982139800000002,120.19134299999999
35,後甲分行,台南市東區裕農路520號,06-2092638,-,"{'lat': 22.9883749, 'lng': 120.232937}",22.988374899999997,120.232937
36,海佃分行,台南市安南區海佃路一段130號,(06)258-5015,-,"{'lat': 23.0235795, 'lng': 120.191948}",23.0235795,120.191948
37,彰化分行,彰化縣彰化市中正路一段273號,(04)722-7789,-,"{'lat': 24.0830499, 'lng': 120.546172}",24.0830499,120.546172
38,五甲分行,高雄市鳳山區五甲二路734號,(07)813-1168,-,"{'lat': 22.5940003, 'lng': 120.3289914}",22.5940003,120.3289914
39,鳳山分行,高雄市鳳山區中山西路105號,(07)719-9999,-,"{'lat': 22.62681, 'lng': 120.352232}",22.62681,120.352232
40,古亭分行,台北市中正區羅斯福路三段28號,(02)2364-6888,-,"{'lat': 25.0231215, 'lng': 121.5251251}",25.0231215,121.5251251
41,建橋分行,台北市中山區南京東路二段150號,(02)2508-1899,-,"{'lat': 25.051879, 'lng': 121.5343164}",25.051879,121.53431640000001
43,民生分行,台北市松山區三民路88號,(02)8787-2680,-,"{'lat': 25.0566662, 'lng': 121.563815}",25.0566662,121.56381499999999
44,太平分行,台中市太平區宜昌路511號,(04)2273-0588,-,"{'lat': 24.1476987, 'lng': 120.7154811}",24.1476987,120.7154811
45,和平分行,台北市大安區和平東路一段238號,(02)2368-5589,-,"{'lat': 25.026064, 'lng': 121.532501}",25.026064,121.532501
46,北高雄分行,高雄市左營區博愛二路360號,(07)550-9900,-,"{'lat': 22.664764, 'lng': 120.303737}",22.664764,120.30373700000001
47,南新莊分行,新北市新莊區富國路58號,(02)2906-8868,-,"{'lat': 25.026024, 'lng': 121.4191573}",25.026024,121.41915729999998
